County_ID,County,PA_Region,Year,ETANF,Snap_January ,SNAP_July,Medicaid,SSI,WIC,CHIP,LFPR,U_Rate,Med_Income,ED_Attain_HSandAbove,Ed_Attain_BAandAbove,Employ_TR,Pov_Rate,Population
7,Beaver,West,2017,28,"12,597","12,800","36,294","4,614",2577,"2,070",94.5,5.5,"$54,923 ",94.4,23.8,,11,"166,140"
11,Berks,West,2017,93,"29,956","29,842","95,053","10,821",9292,"7,139",95.4,4.6,"$61,058 ",86.4,23.8,,11.8,"417,854"
13,Blair,Central,2017,36,"10,717","10,657","33,045","4,540",2822,"1,887",95.2,4.8,"$45,957 ",91,21,,14.6,"123,457"
17,Bucks,Southeast,2017,48,"20,020","20,089","79,499","7,013",4493,"8,277",95.8,4.2,"$84,749 ",94,41.4,,6.1,"628,341"
19,Butler,West,2017,27,"8,645","8,615","27,685","3,146",1941,"1,989",95.4,4.6,"$68,934 ",-,-,,8.45,"187,108"
21,Cambria,Central,2017,80,"12,614","12,564","34,643","4,787",2833,"1,716",93.9,6.1,"$46,598 ",91.1,21.3,,15.1,"133,054"
29,Chester,Southeast,2017,45,"12,378","12,451","54,079","4,138",4724,"5,741",96.4,3.6,"$96,656 ",93.3,52.3,,6.4,"519,293"
39,Crawford,West,2017,25,"6,697","6,770","20,419","2,910",1718,"1,055",94.5,5.5,"$50,657 ",88.5,21.4,,14.1,"86,159"
43,Dauphin,Southeast,2017,126,"22,028","22,322","66,861","7,853",6742,"3,876",95.5,4.5,"$61,622 ",91.1,29.2,,12.2,"275,710"
45,Delaware,Southeast,2017,218,"35,453","35,551","118,382","12,707",9499,"8,065",95.5,4.5,"$73,854 ",93.7,40.3,,9.7,"564,696"
49,Erie,West,2017,160,"26,909","27,187","78,649","10,624",6697,"3,226",94.2,5.8,"$50,614 ",90.6,27.1,,16,"274,541"
51,Fayette,West,2017,71,"16,636","16,402","43,248","7,874",2818,"1,860",93.1,6.9,"$44,184 ",88.4,18.1,,17.6,"131,504"
55,Franklin,Southeast,2017,0,"7,903","7,913","28,238","2,505",3249,"3,033",95.5,4.5,"$60,459 ",88.4,23.7,,9.8,"154,234"
59,Greene,West,2017,6,"3,533","3,586","10,080","1,685",836,392,94.1,5.9,"$46,761 ",-,-,,15.3,"36,770"
69,Lackawanna,Northeast,2017,76,"19,760","19,925","54,629","6,854",4833,"2,475",94.9,5.1,"$49,172 ",91.9,29.1,,14.5,"210,761"
71,Lancaster,Central,2017,74,"25,460","24,923","93,207","9,385",8696,"9,895",96.2,3.8,"$63,407 ",84.6,28,,10,"542,903"
73,Lawrence,West,2017,70,"8,623","8,569","22,765","3,338",1878,"1,025",93.9,6.1,"$49,967 ",91.1,22.7,,12.4,"87,069"
75,Lebanon,Southeast,2017,16,"7,710","7,630","28,044","2,627",3028,"2,364",95.9,4.1,"$57,372 ",88.7,22.2,,11.4,"139,754"
77,Lehigh,Southeast,2017,91,"24,368","24,880","85,661","9,930",9293,"6,685",95,5,"$60,871 ",88.2,29.4,,12.8,"366,494"
79,Luzerne,Northeast,2017,83,"30,822","31,308","86,937","10,038",7882,"4,214",94.1,5.9,"$51,332 ",89.1,23.9,,13.8,"317,343"
81,Lycoming,Northeast,2017,58,"8,637","8,593","27,261","3,253",2498,"1,443",94.4,5.6,"$50,909 ",91.7,24.1,,12.2,"113,841"
83,McKean,Northeast,2017,20,"3,649","3,675","11,322","1,571",924,439,93.8,6.2,"$46,309 ",-,-,,17.1,"41,330"
85,Mercer,West,2017,57,"9,807","9,920","28,240","3,788",1899,"1,192",94.5,5.5,"$46,785 ",91,24.4,,11.2,"111,750"
91,Montgomery,Southeast,2017,89,"27,038","26,668","107,285","8,541",7304,"9,943",96.1,3.9,"$87,304 ",94.8,50.2,,5.7,"826,075"
95,Northampton,Southeast,2017,39,"16,463","16,550","55,413","6,441",4071,"4,193",95.1,4.9,"$66,066 ",90.7,29.9,,10.2,"303,405"
